시도,군구,관광지,구분,세부구분,내/외국인,총계(2010.01 ~ 2019.09),2010년,,,,,,,,,,,,,2011년,,,,,,,,,,,,,2012년,,,,,,,,,,,,,2013년,,,,,,,,,,,,,2014년,,,,,,,,,,,,,2015년,,,,,,,,,,,,,2016년,,,,,,,,,,,,,2017년,,,,,,,,,,,,,2018년,,,,,,,,,,,,,2019년,,,,,,,,,,
,,,,,,,인원계,2010년 01월,2010년 02월,2010년 03월,2010년 04월,2010년 05월,2010년 06월,2010년 07월,2010년 08월,2010년 09월,2010년 10월,2010년 11월,2010년 12월,인원계,2011년 01월,2011년 02월,2011년 03월,2011년 04월,2011년 05월,2011년 06월,2011년 07월,2011년 08월,2011년 09월,2011년 10월,2011년 11월,2011년 12월,인원계,2012년 01월,2012년 02월,2012년 03월,2012년 04월,2012년 05월,2012년 06월,2012년 07월,2012년 08월,2012년 09월,2012년 10월,2012년 11월,2012년 12월,인원계,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,인원계,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,인원계,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,인원계,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,인원계,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,인원계,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,인원계,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,
광주광역시,동구,곰적골,무료,측정,내국인,"106,504",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"32,951","2,844","2,485","4,181","3,574","2,163","1,968","6,960","3,035","3,045","1,879",175,642,"40,573",723,"3,101","9,940","10,222","2,390","2,062","2,361","2,026","2,748","2,225","1,896",879,"32,980","1,101","2,786","8,889","9,702","2,290","1,685","1,776","1,640","3,111",
광주광역시,동구,곰적골,무료,측정,합계,"106,504",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"32,951","2,844","2,485","4,181","3,574","2,163","1,968","6,960","3,035","3,045","1,879",175,642,"40,573",723,"3,101","9,940","10,222","2,390","2,062","2,361","2,026","2,748","2,225","1,896",879,"32,980","1,101","2,786","8,889","9,702","2,290","1,685","1,776","1,640","3,111",
광주광역시,동구,광주광역시 5.18민주화운동기록관,무료,측정,내국인,"196,736",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"19,082",-,-,-,-,"5,810","1,886","2,019","1,926","1,394","2,345","1,504","2,198","38,382","1,637","1,427","1,489","2,318","8,234","3,016","3,813","3,180","2,908","4,041","3,350","2,969","53,189","2,425","3,552","2,823","2,623","9,907","3,316","4,036","6,454","4,166","5,774","3,867","4,246","41,596","3,404","2,020","2,841","3,487","11,132","2,740",532,860,926,"4,950","4,508","4,196","44,487","2,989","3,032","3,523","4,119","13,083","4,115","4,400","5,498","3,728",
광주광역시,동구,광주광역시 5.18민주화운동기록관,무료,측정,합계,"196,736",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"19,082",-,-,-,-,"5,810","1,886","2,019","1,926","1,394","2,345","1,504","2,198","38,382","1,637","1,427","1,489","2,318","8,234","3,016","3,813","3,180","2,908","4,041","3,350","2,969","53,189","2,425","3,552","2,823","2,623","9,907","3,316","4,036","6,454","4,166","5,774","3,867","4,246","41,596","3,404","2,020","2,841","3,487","11,132","2,740",532,860,926,"4,950","4,508","4,196","44,487","2,989","3,032","3,523","4,119","13,083","4,115","4,400","5,498","3,728",
광주광역시,동구,무등산국립공원(동적골),무료,측정,내국인,"1,114,778",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"283,788","15,454","15,473","21,643","34,859","25,026","20,595","25,413","28,731","27,118","26,793","22,836","19,847","202,365","12,215","13,416","19,396","24,282","18,696","16,658","13,721","13,476","15,756","24,338","17,526","12,885","238,704","17,286","14,473","21,956","26,664","24,300","18,872","15,813","19,497","23,094","23,988","18,481","14,280","214,557","14,729","17,465","22,700","26,800","20,215","9,869","7,693","11,093","20,196","27,793","20,357","15,647","175,364","17,481","17,570","22,237","23,366","27,076","18,745","12,041","16,505","20,343",
광주광역시,동구,무등산국립공원(동적골),무료,측정,합계,"1,114,778",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"283,788","15,454","15,473","21,643","34,859","25,026","20,595","25,413","28,731","27,118","26,793","22,836","19,847","202,365","12,215","13,416","19,396","24,282","18,696","16,658","13,721","13,476","15,756","24,338","17,526","12,885","238,704","17,286","14,473","21,956","26,664","24,300","18,872","15,813","19,497","23,094","23,988","18,481","14,280","214,557","14,729","17,465","22,700","26,800","20,215","9,869","7,693","11,093","20,196","27,793","20,357","15,647","175,364","17,481","17,570","22,237","23,366","27,076","18,745","12,041","16,505","20,343",
광주광역시,동구,무등산국립공원(장원봉제1진입로),무료,측정,내국인,"93,433",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"35,086","1,938","1,740","1,992","1,691","2,032","2,256","3,090","2,208","11,572","2,569","2,200","1,798","17,344","1,431","1,101","1,779","1,312","1,353","1,339","1,513","1,638","1,560","1,767","1,353","1,198","20,346","3,859","1,422","2,008","1,367","1,278","1,334","1,313","1,747","1,353","1,605","1,927","1,133","12,420","1,343",934,"1,049",977,"1,342","1,263",874,846,"1,044","1,121",791,836,"8,237","1,167",845,"1,035",916,"1,766",827,711,445,525,
광주광역시,동구,무등산국립공원(장원봉제1진입로),무료,측정,합계,"93,433",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"35,086","1,938","1,740","1,992","1,691","2,032","2,256","3,090","2,208","11,572","2,569","2,200","1,798","17,344","1,431","1,101","1,779","1,312","1,353","1,339","1,513","1,638","1,560","1,767","1,353","1,198","20,346","3,859","1,422","2,008","1,367","1,278","1,334","1,313","1,747","1,353","1,605","1,927","1,133","12,420","1,343",934,"1,049",977,"1,342","1,263",874,846,"1,044","1,121",791,836,"8,237","1,167",845,"1,035",916,"1,766",827,711,445,525,
광주광역시,동구,무등산국립공원(제1수원지),무료,측정,내국인,"377,640",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"113,113","6,014","5,482","6,823","6,628","11,016","11,870","12,964","14,309","11,572","12,586","7,274","6,575","77,438","4,891","4,402","5,638","4,409","6,830","7,496","7,411","8,702","7,383","8,381","6,147","5,748","88,221","6,366","5,873","8,057","6,475","9,265","10,094","6,139","7,420","7,215","8,853","6,491","5,973","62,258","5,371","6,385","5,304","4,939","7,458","8,333","2,890","3,838","5,505","3,297","6,658","2,280","36,610","2,118","5,462","4,778","4,230","7,038","3,727","2,098","1,820","5,339",
광주광역시,동구,무등산국립공원(제1수원지),무료,측정,외국인,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
