시도,군구,관광지,구분,세부구분,내/외국인,총계(2010.01 ~ 2019.09),2010년,,,,,,,,,,,,,2011년,,,,,,,,,,,,,2012년,,,,,,,,,,,,,2013년,,,,,,,,,,,,,2014년,,,,,,,,,,,,,2015년,,,,,,,,,,,,,2016년,,,,,,,,,,,,,2017년,,,,,,,,,,,,,2018년,,,,,,,,,,,,,2019년,,,,,,,,,,
,,,,,,,인원계,2010년 01월,2010년 02월,2010년 03월,2010년 04월,2010년 05월,2010년 06월,2010년 07월,2010년 08월,2010년 09월,2010년 10월,2010년 11월,2010년 12월,인원계,2011년 01월,2011년 02월,2011년 03월,2011년 04월,2011년 05월,2011년 06월,2011년 07월,2011년 08월,2011년 09월,2011년 10월,2011년 11월,2011년 12월,인원계,2012년 01월,2012년 02월,2012년 03월,2012년 04월,2012년 05월,2012년 06월,2012년 07월,2012년 08월,2012년 09월,2012년 10월,2012년 11월,2012년 12월,인원계,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,인원계,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,인원계,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,인원계,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,인원계,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,인원계,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,인원계,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,
대구광역시,중구,옛 구암서원,유료,측정,내국인,"93,006",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"19,919",772,691,"1,116","1,253","1,527","2,108","2,087","2,703","2,410","2,801","2,264",187,"24,411","1,738","1,641","1,815","1,765","2,934","2,456","2,672","2,566","2,643","2,069","1,737",375,"13,451",292,305,929,974,"1,605",881,"1,597","1,406","1,551","1,757","1,178",976,"11,793",793,964,"1,004","1,210","1,354","1,052","1,030",928,904,904,950,700,"9,071",71,72,67,66,81,74,64,"1,728","1,433","1,870","1,896","1,649","14,361","1,528","1,609","1,818","1,906","1,994","1,533","1,355","1,510","1,108",
대구광역시,중구,옛 구암서원,유료,측정,외국인,"16,200",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,604,10,10,14,6,150,186,56,2,60,81,14,15,"2,398",25,80,39,153,131,19,27,349,854,404,238,79,487,32,9,61,40,22,93,65,45,15,20,75,10,679,6,6,5,40,12,4,37,31,134,134,140,130,"3,992",53,92,110,136,77,81,114,617,512,713,722,765,"8,040",810,792,928,985,907,898,942,984,794,
대구광역시,중구,옛 구암서원,유료,측정,합계,"109,206",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"20,523",782,701,"1,130","1,259","1,677","2,294","2,143","2,705","2,470","2,882","2,278",202,"26,809","1,763","1,721","1,854","1,918","3,065","2,475","2,699","2,915","3,497","2,473","1,975",454,"13,938",324,314,990,"1,014","1,627",974,"1,662","1,451","1,566","1,777","1,253",986,"12,472",799,970,"1,009","1,250","1,366","1,056","1,067",959,"1,038","1,038","1,090",830,"13,063",124,164,177,202,158,155,178,"2,345","1,945","2,583","2,618","2,414","22,401","2,338","2,401","2,746","2,891","2,901","2,431","2,297","2,494","1,902",
대구광역시,중구,향촌문화관,유료,측정,내국인,"402,633",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,857",-,-,-,-,-,-,-,-,-,-,-,"10,857","108,359","12,359","12,106","7,352","7,934","11,146","7,673","8,841","11,111","8,930","8,938","6,133","5,836","100,906","6,478","10,120","5,989","7,601","10,900","7,194","7,163","9,905","7,911","10,597","7,406","9,642","106,203","8,880","9,899","7,094","7,507","11,465","9,185","6,077","8,377","9,759","9,959","8,921","9,080","76,308","8,624","9,897","8,040","6,195","9,693","9,773","7,029","9,258","7,799",
대구광역시,중구,향촌문화관,유료,측정,외국인,"16,535",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,10,"4,491",572,630,11,35,30,832,"1,218",997,67,51,19,29,"1,578",22,34,51,95,52,120,109,162,102,376,91,364,"2,705",51,96,176,313,122,198,399,378,266,247,227,232,"7,751",424,405,562,547,543,"1,049","1,538","1,515","1,168",
대구광역시,중구,향촌문화관,유료,측정,합계,"419,168",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,867",-,-,-,-,-,-,-,-,-,-,-,"10,867","112,850","12,931","12,736","7,363","7,969","11,176","8,505","10,059","12,108","8,997","8,989","6,152","5,865","102,484","6,500","10,154","6,040","7,696","10,952","7,314","7,272","10,067","8,013","10,973","7,497","10,006","108,908","8,931","9,995","7,270","7,820","11,587","9,383","6,476","8,755","10,025","10,206","9,148","9,312","84,059","9,048","10,302","8,602","6,742","10,236","10,822","8,567","10,773","8,967",
대구광역시,중구,경상감영공원,무료,추정,내국인,"2,374,269","744,860","45,089","42,154","44,792","75,790","103,043","99,802","73,923","59,333","54,840","49,522","43,426","53,146","871,506","54,721","54,429","65,667","69,855","67,069","77,127","76,034","79,966","78,600","90,147","83,538","74,353","757,903","66,593","56,873","64,060","58,692","80,481","53,870","60,314","63,024","69,110","73,853","61,522","49,511",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
대구광역시,중구,경상감영공원,무료,추정,합계,"2,374,269","744,860","45,089","42,154","44,792","75,790","103,043","99,802","73,923","59,333","54,840","49,522","43,426","53,146","871,506","54,721","54,429","65,667","69,855","67,069","77,127","76,034","79,966","78,600","90,147","83,538","74,353","757,903","66,593","56,873","64,060","58,692","80,481","53,870","60,314","63,024","69,110","73,853","61,522","49,511",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
대구광역시,중구,국채보상기념공원,무료,추정,내국인,"4,548,186","1,713,144","75,069","75,895","92,164","132,260","172,540","189,302","195,366","227,158","193,650","164,658","101,734","93,348","1,554,283","80,022","88,941","110,759","108,786","128,539","143,121","161,094","210,001","182,320","159,500","82,108","99,092","1,280,759","75,598","69,207","85,019","93,666","128,933","93,680","111,946","143,962","153,200","157,530","87,222","80,796",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
대구광역시,중구,국채보상기념공원,무료,추정,합계,"4,548,186","1,713,144","75,069","75,895","92,164","132,260","172,540","189,302","195,366","227,158","193,650","164,658","101,734","93,348","1,554,283","80,022","88,941","110,759","108,786","128,539","143,121","161,094","210,001","182,320","159,500","82,108","99,092","1,280,759","75,598","69,207","85,019","93,666","128,933","93,680","111,946","143,962","153,200","157,530","87,222","80,796",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
