시도,군구,관광지,구분,세부구분,내/외국인,총계(2010.01 ~ 2019.09),2010년,,,,,,,,,,,,,2011년,,,,,,,,,,,,,2012년,,,,,,,,,,,,,2013년,,,,,,,,,,,,,2014년,,,,,,,,,,,,,2015년,,,,,,,,,,,,,2016년,,,,,,,,,,,,,2017년,,,,,,,,,,,,,2018년,,,,,,,,,,,,,2019년,,,,,,,,,,
,,,,,,,인원계,2010년 01월,2010년 02월,2010년 03월,2010년 04월,2010년 05월,2010년 06월,2010년 07월,2010년 08월,2010년 09월,2010년 10월,2010년 11월,2010년 12월,인원계,2011년 01월,2011년 02월,2011년 03월,2011년 04월,2011년 05월,2011년 06월,2011년 07월,2011년 08월,2011년 09월,2011년 10월,2011년 11월,2011년 12월,인원계,2012년 01월,2012년 02월,2012년 03월,2012년 04월,2012년 05월,2012년 06월,2012년 07월,2012년 08월,2012년 09월,2012년 10월,2012년 11월,2012년 12월,인원계,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,인원계,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,인원계,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,인원계,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,인원계,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,인원계,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,인원계,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,
대전광역시,동구,상소오토캠핑장,유료,측정,내국인,"88,742",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"24,314","1,152","1,224","1,036","1,928","2,520","1,882","2,628","3,420","2,300","2,656","1,795","1,773","22,213","1,082",747,"1,164","1,564","2,707","2,116","1,850","3,078","2,353","3,080",972,"1,500","24,655","1,158","1,270","1,949","2,176","2,720","3,293","2,300","2,783","2,492","1,880","1,239","1,395","17,560","1,168","1,276","1,400","1,824","2,620","2,112","2,348","3,108","1,704",
대전광역시,동구,상소오토캠핑장,유료,측정,합계,"88,742",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"24,314","1,152","1,224","1,036","1,928","2,520","1,882","2,628","3,420","2,300","2,656","1,795","1,773","22,213","1,082",747,"1,164","1,564","2,707","2,116","1,850","3,078","2,353","3,080",972,"1,500","24,655","1,158","1,270","1,949","2,176","2,720","3,293","2,300","2,783","2,492","1,880","1,239","1,395","17,560","1,168","1,276","1,400","1,824","2,620","2,112","2,348","3,108","1,704",
대전광역시,동구,찬샘마을,유료,측정,내국인,"55,179",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"23,241",216,140,112,"3,672","1,203","1,778",563,406,"4,551","7,673","2,117",810,"20,988",194,127,58,"2,898","1,799","1,587",317,239,"3,423","9,336",912,98,"10,950",92,124,179,"2,194","1,878","1,228",352,818,"4,085",
대전광역시,동구,찬샘마을,유료,측정,합계,"55,179",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"23,241",216,140,112,"3,672","1,203","1,778",563,406,"4,551","7,673","2,117",810,"20,988",194,127,58,"2,898","1,799","1,587",317,239,"3,423","9,336",912,98,"10,950",92,124,179,"2,194","1,878","1,228",352,818,"4,085",
대전광역시,동구,코스모스관광호텔,유료,측정,내국인,"6,409","4,069",355,400,430,450,430,450,325,227,227,252,235,288,"2,340",10,10,10,400,480,450,441,250,289,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
대전광역시,동구,코스모스관광호텔,유료,측정,외국인,199,96,10,10,-,15,22,12,15,8,4,0,0,0,103,10,10,10,10,15,18,14,10,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
대전광역시,동구,코스모스관광호텔,유료,측정,합계,"6,608","4,165",365,410,430,465,452,462,340,235,231,252,235,288,"2,443",20,20,20,410,495,468,455,260,295,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
대전광역시,동구,태웅관광호텔,유료,측정,내국인,"8,647","5,687",500,600,500,555,455,390,904,277,107,480,431,488,"2,960",100,100,100,490,480,380,860,250,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
대전광역시,동구,태웅관광호텔,유료,측정,외국인,303,186,-,25,12,10,10,10,38,28,5,15,16,17,117,10,10,10,21,20,12,24,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
대전광역시,동구,태웅관광호텔,유료,측정,합계,"8,950","5,873",500,625,512,565,465,400,942,305,112,495,447,505,"3,077",110,110,110,511,500,392,884,250,210,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
대전광역시,동구,한일관광호텔,유료,측정,내국인,"6,021","3,931",300,300,290,320,290,305,147,274,148,648,279,630,"2,090",10,5,490,360,300,250,205,310,160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
대전광역시,동구,한일관광호텔,유료,측정,외국인,"1,228",130,3,5,6,10,8,5,37,31,14,2,3,6,"1,098",548,460,10,15,15,10,28,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
대전광역시,동구,한일관광호텔,유료,측정,합계,"7,249","4,061",303,305,296,330,298,310,184,305,162,650,282,636,"3,188",558,465,500,375,315,260,233,310,172,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
대전광역시,동구,만인산자연휴양림,무료,추정,내국인,"395,380","267,115","17,025","16,875","16,125","30,150","30,425","30,150","20,372","23,683","17,889","21,641","20,214","22,566","128,265","4,100","3,900","4,000","24,600","18,800","13,800","21,650","21,300","16,115",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
대전광역시,동구,만인산자연휴양림,무료,추정,합계,"395,380","267,115","17,025","16,875","16,125","30,150","30,425","30,150","20,372","23,683","17,889","21,641","20,214","22,566","128,265","4,100","3,900","4,000","24,600","18,800","13,800","21,650","21,300","16,115",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
대전광역시,동구,세천유원지,무료,추정,내국인,"354,794","214,374","7,065","6,065","6,455","38,250","11,890","11,770","29,568","30,745","19,732","18,547","15,957","18,330","140,420","4,100","3,900","4,000","19,800","19,075","13,200","26,200","31,100","19,045",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
대전광역시,동구,세천유원지,무료,추정,합계,"354,794","214,374","7,065","6,065","6,455","38,250","11,890","11,770","29,568","30,745","19,732","18,547","15,957","18,330","140,420","4,100","3,900","4,000","19,800","19,075","13,200","26,200","31,100","19,045",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
