시도,군구,관광지,구분,세부구분,내/외국인,총계(2010.01 ~ 2019.09),2010년,,,,,,,,,,,,,2011년,,,,,,,,,,,,,2012년,,,,,,,,,,,,,2013년,,,,,,,,,,,,,2014년,,,,,,,,,,,,,2015년,,,,,,,,,,,,,2016년,,,,,,,,,,,,,2017년,,,,,,,,,,,,,2018년,,,,,,,,,,,,,2019년,,,,,,,,,,
,,,,,,,인원계,2010년 01월,2010년 02월,2010년 03월,2010년 04월,2010년 05월,2010년 06월,2010년 07월,2010년 08월,2010년 09월,2010년 10월,2010년 11월,2010년 12월,인원계,2011년 01월,2011년 02월,2011년 03월,2011년 04월,2011년 05월,2011년 06월,2011년 07월,2011년 08월,2011년 09월,2011년 10월,2011년 11월,2011년 12월,인원계,2012년 01월,2012년 02월,2012년 03월,2012년 04월,2012년 05월,2012년 06월,2012년 07월,2012년 08월,2012년 09월,2012년 10월,2012년 11월,2012년 12월,인원계,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,인원계,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,인원계,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,인원계,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,인원계,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,인원계,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,인원계,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,
부산광역시,중구,용두산공원,무료,추정,내국인,"7,173,861","2,344,527","154,031","130,667","166,020","200,212","206,180","201,979","226,881","203,490","204,789","295,147","170,620","184,511","2,403,666","157,115","130,730","167,919","201,345","207,503","202,554","246,817","204,087","216,255","308,818","172,324","188,199","2,425,668","161,701","132,262","171,045","203,370","208,692","204,200","248,093","204,347","218,275","309,654","172,748","191,281",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
부산광역시,중구,용두산공원,무료,추정,합계,"7,173,861","2,344,527","154,031","130,667","166,020","200,212","206,180","201,979","226,881","203,490","204,789","295,147","170,620","184,511","2,403,666","157,115","130,730","167,919","201,345","207,503","202,554","246,817","204,087","216,255","308,818","172,324","188,199","2,425,668","161,701","132,262","171,045","203,370","208,692","204,200","248,093","204,347","218,275","309,654","172,748","191,281",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
부산광역시,영도구,태종대 관광지,유료,측정,내국인,"616,672",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"616,672","61,547","68,404","67,183","69,397","78,602","80,509","65,257","84,592","41,181",
부산광역시,영도구,태종대 관광지,유료,측정,내국인,"4,598,908",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,041,515","80,313","69,495","57,711","83,386","102,848","97,679","103,519","114,632","78,491","97,130","79,173","77,138","673,414",-,-,-,"71,261","95,072","58,696","78,087","96,881","61,414","83,090","50,146","78,767","949,135","88,135","88,460","59,894","85,582","86,889","72,321","85,317","113,101","52,552","71,513","63,463","81,908","1,083,127","94,014","91,461","68,296","99,548","121,269","113,258","90,937","103,279","67,865","99,410","70,972","62,818","851,717","60,728","55,749","61,507","80,214","77,180","77,154","73,943","80,982","62,480","89,862","66,745","65,173",-,-,-,-,-,-,-,-,-,-,
부산광역시,영도구,태종대 관광지,유료,측정,외국인,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,
부산광역시,영도구,태종대 관광지,유료,측정,합계,"5,215,580",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,041,515","80,313","69,495","57,711","83,386","102,848","97,679","103,519","114,632","78,491","97,130","79,173","77,138","673,414",-,-,-,"71,261","95,072","58,696","78,087","96,881","61,414","83,090","50,146","78,767","949,135","88,135","88,460","59,894","85,582","86,889","72,321","85,317","113,101","52,552","71,513","63,463","81,908","1,083,127","94,014","91,461","68,296","99,548","121,269","113,258","90,937","103,279","67,865","99,410","70,972","62,818","851,717","60,728","55,749","61,507","80,214","77,180","77,154","73,943","80,982","62,480","89,862","66,745","65,173","616,672","61,547","68,404","67,183","69,397","78,602","80,509","65,257","84,592","41,181",
부산광역시,영도구,태종대 관광지,무료,추정,내국인,"5,455,906","1,603,723","131,556","93,309","82,034","125,890","159,409","118,070","153,617","208,133","129,069","143,497","119,228","139,911","1,858,273","159,692","154,621","126,519","161,468","199,826","134,112","158,902","233,359","125,130","164,216","113,288","127,140","1,993,910","146,600","152,907","132,508","165,291","193,075","168,610","184,466","246,532","130,830","188,660","145,403","139,028",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
부산광역시,영도구,태종대 관광지,무료,추정,합계,"5,455,906","1,603,723","131,556","93,309","82,034","125,890","159,409","118,070","153,617","208,133","129,069","143,497","119,228","139,911","1,858,273","159,692","154,621","126,519","161,468","199,826","134,112","158,902","233,359","125,130","164,216","113,288","127,140","1,993,910","146,600","152,907","132,508","165,291","193,075","168,610","184,466","246,532","130,830","188,660","145,403","139,028",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
부산광역시,부산진구,어린이대공원,무료,추정,내국인,"8,658,590","3,472,570","313,221","263,514","195,150","280,352","550,771","251,828","274,568","301,426","297,311","367,760","248,754","127,915","2,693,328","92,958","124,988","186,140","275,797","471,269","231,833","235,113","212,257","188,668","297,889","243,179","133,237","2,492,692","115,439","146,737","221,283","279,794","401,517","280,025","178,347","158,325","149,670","256,857","202,487","102,211",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
부산광역시,부산진구,어린이대공원,무료,추정,합계,"8,658,590","3,472,570","313,221","263,514","195,150","280,352","550,771","251,828","274,568","301,426","297,311","367,760","248,754","127,915","2,693,328","92,958","124,988","186,140","275,797","471,269","231,833","235,113","212,257","188,668","297,889","243,179","133,237","2,492,692","115,439","146,737","221,283","279,794","401,517","280,025","178,347","158,325","149,670","256,857","202,487","102,211",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
