시도,군구,관광지,구분,세부구분,내/외국인,총계(2010.01 ~ 2019.09),2010년,,,,,,,,,,,,,2011년,,,,,,,,,,,,,2012년,,,,,,,,,,,,,2013년,,,,,,,,,,,,,2014년,,,,,,,,,,,,,2015년,,,,,,,,,,,,,2016년,,,,,,,,,,,,,2017년,,,,,,,,,,,,,2018년,,,,,,,,,,,,,2019년,,,,,,,,,,
,,,,,,,인원계,2010년 01월,2010년 02월,2010년 03월,2010년 04월,2010년 05월,2010년 06월,2010년 07월,2010년 08월,2010년 09월,2010년 10월,2010년 11월,2010년 12월,인원계,2011년 01월,2011년 02월,2011년 03월,2011년 04월,2011년 05월,2011년 06월,2011년 07월,2011년 08월,2011년 09월,2011년 10월,2011년 11월,2011년 12월,인원계,2012년 01월,2012년 02월,2012년 03월,2012년 04월,2012년 05월,2012년 06월,2012년 07월,2012년 08월,2012년 09월,2012년 10월,2012년 11월,2012년 12월,인원계,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,인원계,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,인원계,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,인원계,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,인원계,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,인원계,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,인원계,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,
서울특별시,종로구,경복궁,유료,측정,내국인,"29,583,592",-,-,-,-,-,-,-,-,-,-,-,-,-,"3,799,804","141,183","230,814","228,276","349,368","438,567","252,185","275,074","386,264","437,683","518,742","304,318","237,330","3,098,348","114,505","169,684","233,028","336,255","481,103","224,854","193,169","202,572","296,957","520,733","192,476","133,012","2,953,338","105,724","140,253","179,912","276,043","522,279","208,081","203,073","255,664","319,869","385,056","211,840","145,544","3,657,756","169,707","154,435","223,788","360,411","457,248","270,469","274,596","405,225","393,644","468,796","288,936","190,501","3,347,046","196,594","264,154","272,022","406,906","485,936","155,024","140,930","265,302","387,816","403,641","219,760","148,961","3,122,183","144,022","161,100","167,966","340,944","378,455","263,435","220,865","225,335","360,920","512,873","194,951","151,317","3,336,671","165,237","155,014","165,143","351,637","355,030","175,296","184,033","236,717","308,138","850,481","225,334","164,611","3,425,247","124,211","197,756","220,494","341,280","407,217","279,530","200,582","198,930","528,333","434,708","290,439","201,767","2,843,199","169,113","263,784","233,317","387,075","449,268","321,317","264,643","260,658","494,024",
서울특별시,종로구,경복궁,유료,측정,외국인,"14,033,250",-,-,-,-,-,-,-,-,-,-,-,-,-,"1,284,747","40,224","44,906","73,166","89,972","80,539","70,120","141,034","169,329","152,005","164,752","126,301","132,399","1,423,823","109,310","79,221","100,000","134,279","117,936","112,631","138,101","168,712","106,412","138,532","113,319","105,370","1,446,982","82,184","92,997","119,793","130,082","82,579","115,003","162,364","205,693","144,685","107,719","101,941","101,942","1,917,948","96,716","103,625","126,971","162,371","162,319","154,604","218,935","230,924","159,595","207,722","164,220","129,946","1,714,487","108,087","154,280","114,092","209,980","185,212","31,822","78,117","126,031","145,280","203,207","188,000","170,379","2,897,935","193,821","206,161","222,231","321,801","303,498","276,101","352,717","283,115","211,357","236,910","148,113","142,110","1,168,321","151,625","139,457","100,061","124,811","83,321","81,119","69,373","61,121","68,142","151,735","65,577","71,979","1,022,324","40,684","80,773","77,248","97,644","69,268","89,976","80,522","74,322","114,309","107,233","95,800","94,545","1,156,683","54,374","109,846","129,009","163,903","124,746","118,578","96,569","184,321","175,337",
서울특별시,종로구,경복궁,유료,측정,합계,"43,616,842",-,-,-,-,-,-,-,-,-,-,-,-,-,"5,084,551","181,407","275,720","301,442","439,340","519,106","322,305","416,108","555,593","589,688","683,494","430,619","369,729","4,522,171","223,815","248,905","333,028","470,534","599,039","337,485","331,270","371,284","403,369","659,265","305,795","238,382","4,400,320","187,908","233,250","299,705","406,125","604,858","323,084","365,437","461,357","464,554","492,775","313,781","247,486","5,575,704","266,423","258,060","350,759","522,782","619,567","425,073","493,531","636,149","553,239","676,518","453,156","320,447","5,061,533","304,681","418,434","386,114","616,886","671,148","186,846","219,047","391,333","533,096","606,848","407,760","319,340","6,020,118","337,843","367,261","390,197","662,745","681,953","539,536","573,582","508,450","572,277","749,783","343,064","293,427","4,504,992","316,862","294,471","265,204","476,448","438,351","256,415","253,406","297,838","376,280","1,002,216","290,911","236,590","4,447,571","164,895","278,529","297,742","438,924","476,485","369,506","281,104","273,252","642,642","541,941","386,239","296,312","3,999,882","223,487","373,630","362,326","550,978","574,014","439,895","361,212","444,979","669,361",
서울특별시,종로구,서울역사박물관,유료,측정,내국인,"2,908,527",-,-,-,-,-,-,-,-,-,-,-,-,-,"1,227,221","57,787","64,148","72,844","128,120","155,529","115,230","116,639","127,048","106,764","103,723","85,835","93,554","1,681,306","93,801","79,407","106,514","133,570","269,387","182,096","160,020","181,507","175,273","125,261","96,291","78,179",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
서울특별시,종로구,서울역사박물관,유료,측정,외국인,"24,374",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"24,374","1,161","1,090","1,441","2,078","2,123","1,743","2,175","2,175","1,666","4,047","3,537","1,138",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
서울특별시,종로구,서울역사박물관,유료,측정,합계,"2,932,901",-,-,-,-,-,-,-,-,-,-,-,-,-,"1,227,221","57,787","64,148","72,844","128,120","155,529","115,230","116,639","127,048","106,764","103,723","85,835","93,554","1,705,680","94,962","80,497","107,955","135,648","271,510","183,839","162,195","183,682","176,939","129,308","99,828","79,317",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
서울특별시,종로구,운현궁,유료,측정,내국인,"396,886",-,-,-,-,-,-,-,-,-,-,-,-,-,"203,263","6,523","10,682","10,024","17,574","27,575","13,609","10,498","6,490","35,130","33,436","20,705","11,017","193,623","6,907","8,111","10,487","16,813","24,690","17,914","10,412","9,755","34,242","29,285","19,029","5,978",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
서울특별시,종로구,운현궁,유료,측정,외국인,"21,960",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"21,960","1,093","1,130","1,602","2,439","2,631","1,856","1,916","1,999","3,209","2,457","1,082",546,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
서울특별시,종로구,운현궁,유료,측정,합계,"418,846",-,-,-,-,-,-,-,-,-,-,-,-,-,"203,263","6,523","10,682","10,024","17,574","27,575","13,609","10,498","6,490","35,130","33,436","20,705","11,017","215,583","8,000","9,241","12,089","19,252","27,321","19,770","12,328","11,754","37,451","31,742","20,111","6,524",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
서울특별시,종로구,종묘,유료,측정,내국인,"2,526,353",-,-,-,-,-,-,-,-,-,-,-,-,-,"367,439","11,486","17,078","22,238","30,470","56,106","28,144","25,886","33,560","35,330","45,339","37,579","24,223","187,554","5,856","5,016","21,429","27,411","27,823","16,248","12,400","12,345","13,121","21,956","15,881","8,068","211,673","6,996","7,747","13,138","15,444","53,760","12,628","9,167","17,067","20,382","22,552","18,896","13,896","235,852","14,419","12,307","16,116","17,958","53,528","18,263","14,736","20,377","22,008","24,230","15,959","5,951","222,228","9,854","15,102","10,717","16,470","52,123","6,964","15,124","17,971","16,808","21,238","24,921","14,936","253,909","12,436","13,656","13,348","23,723","73,644","15,950","12,620","12,237","23,920","24,122","16,678","11,575","356,612","12,773","9,809","15,581","21,154","70,624","55,822","23,562","14,949","19,147","70,083","27,018","16,090","410,935","12,633","17,955","19,286","21,873","47,178","17,364","9,292","32,713","71,377","50,839","64,956","45,469","280,151","36,179","40,624","32,188","33,694","53,558","26,297","15,405","29,250","12,956",
