시도,군구,관광지,구분,세부구분,내/외국인,총계(2010.01 ~ 2019.09),2010년,,,,,,,,,,,,,2011년,,,,,,,,,,,,,2012년,,,,,,,,,,,,,2013년,,,,,,,,,,,,,2014년,,,,,,,,,,,,,2015년,,,,,,,,,,,,,2016년,,,,,,,,,,,,,2017년,,,,,,,,,,,,,2018년,,,,,,,,,,,,,2019년,,,,,,,,,,
,,,,,,,인원계,2010년 01월,2010년 02월,2010년 03월,2010년 04월,2010년 05월,2010년 06월,2010년 07월,2010년 08월,2010년 09월,2010년 10월,2010년 11월,2010년 12월,인원계,2011년 01월,2011년 02월,2011년 03월,2011년 04월,2011년 05월,2011년 06월,2011년 07월,2011년 08월,2011년 09월,2011년 10월,2011년 11월,2011년 12월,인원계,2012년 01월,2012년 02월,2012년 03월,2012년 04월,2012년 05월,2012년 06월,2012년 07월,2012년 08월,2012년 09월,2012년 10월,2012년 11월,2012년 12월,인원계,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,인원계,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,인원계,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,인원계,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,인원계,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,인원계,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,인원계,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,
울산광역시,중구,수운 최제우 유허지,무료,추정,내국인,"47,436","14,735","2,079","1,326","1,618","1,019","1,020",805,"1,213","1,113","1,404","1,219",964,955,"16,503","1,178",905,"1,840","1,955","2,020","1,995","1,275","1,040","1,425","1,100",912,858,"16,198","1,031",954,"1,647","1,907","1,713","1,925","1,554","1,309","1,185","1,120",965,888,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
울산광역시,중구,수운 최제우 유허지,무료,추정,합계,"47,436","14,735","2,079","1,326","1,618","1,019","1,020",805,"1,213","1,113","1,404","1,219",964,955,"16,503","1,178",905,"1,840","1,955","2,020","1,995","1,275","1,040","1,425","1,100",912,858,"16,198","1,031",954,"1,647","1,907","1,713","1,925","1,554","1,309","1,185","1,120",965,888,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
울산광역시,중구,약사동제방유적전시관 ,무료,측정,내국인,"11,370",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,717",-,-,-,-,-,-,661,"1,218","1,180",994,"1,177","1,487","4,653","1,003",724,801,526,703,896,-,-,-,
울산광역시,중구,약사동제방유적전시관 ,무료,측정,합계,"11,370",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,717",-,-,-,-,-,-,661,"1,218","1,180",994,"1,177","1,487","4,653","1,003",724,801,526,703,896,-,-,-,
울산광역시,중구,외솔생가 및 기념관,무료,추정,내국인,"205,466","47,990",-,-,-,"3,320","6,329","4,280","5,789","5,551","5,931","6,118","5,558","5,114","74,971","6,107","5,920","6,617","7,115","7,173","7,416","5,965","5,650","6,065","6,093","5,650","5,200","82,505","5,715","6,317","7,020","8,475","7,690","8,550","7,365","4,910","6,200","7,425","7,290","5,548",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
울산광역시,중구,외솔생가 및 기념관,무료,추정,합계,"205,466","47,990",-,-,-,"3,320","6,329","4,280","5,789","5,551","5,931","6,118","5,558","5,114","74,971","6,107","5,920","6,617","7,115","7,173","7,416","5,965","5,650","6,065","6,093","5,650","5,200","82,505","5,715","6,317","7,020","8,475","7,690","8,550","7,365","4,910","6,200","7,425","7,290","5,548",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
울산광역시,중구,외솔생가 및 기념관,무료,측정,내국인,"114,300",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"45,212","2,672","2,538","2,208","4,332","5,292","3,591","3,251","3,939","4,025","7,682","3,227","2,455","46,184","1,946",627,"2,684","4,893","3,953","4,424","2,287","8,385","3,051","12,127",400,"1,407","22,904","2,228","3,192","4,403","3,545","4,259","5,277",-,-,-,
울산광역시,중구,외솔생가 및 기념관,무료,측정,합계,"114,300",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"45,212","2,672","2,538","2,208","4,332","5,292","3,591","3,251","3,939","4,025","7,682","3,227","2,455","46,184","1,946",627,"2,684","4,893","3,953","4,424","2,287","8,385","3,051","12,127",400,"1,407","22,904","2,228","3,192","4,403","3,545","4,259","5,277",-,-,-,
울산광역시,중구,울산 동헌 및 내아,무료,추정,내국인,"99,527","24,994","1,959","1,895","2,204","2,423","2,285",0,"2,186","2,032","2,489","3,002","2,068","2,451","32,227","2,727","1,696","2,924","3,339","3,472","3,195","2,478","2,075","2,550","3,293","2,159","2,319","42,306","2,754","1,651","2,903","3,413","5,195","5,330","4,070","3,350","4,800","4,130","2,250","2,460",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
울산광역시,중구,울산 동헌 및 내아,무료,추정,합계,"99,527","24,994","1,959","1,895","2,204","2,423","2,285",0,"2,186","2,032","2,489","3,002","2,068","2,451","32,227","2,727","1,696","2,924","3,339","3,472","3,195","2,478","2,075","2,550","3,293","2,159","2,319","42,306","2,754","1,651","2,903","3,413","5,195","5,330","4,070","3,350","4,800","4,130","2,250","2,460",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
