시도,군구,관광지,구분,세부구분,내/외국인,총계(2010.01 ~ 2019.09),2010년,,,,,,,,,,,,,2011년,,,,,,,,,,,,,2012년,,,,,,,,,,,,,2013년,,,,,,,,,,,,,2014년,,,,,,,,,,,,,2015년,,,,,,,,,,,,,2016년,,,,,,,,,,,,,2017년,,,,,,,,,,,,,2018년,,,,,,,,,,,,,2019년,,,,,,,,,,
,,,,,,,인원계,2010년 01월,2010년 02월,2010년 03월,2010년 04월,2010년 05월,2010년 06월,2010년 07월,2010년 08월,2010년 09월,2010년 10월,2010년 11월,2010년 12월,인원계,2011년 01월,2011년 02월,2011년 03월,2011년 04월,2011년 05월,2011년 06월,2011년 07월,2011년 08월,2011년 09월,2011년 10월,2011년 11월,2011년 12월,인원계,2012년 01월,2012년 02월,2012년 03월,2012년 04월,2012년 05월,2012년 06월,2012년 07월,2012년 08월,2012년 09월,2012년 10월,2012년 11월,2012년 12월,인원계,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,인원계,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,인원계,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,인원계,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,인원계,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,인원계,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,인원계,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,
인천광역시,중구,송월동화마을 트릭아트스토리,유료,측정,내국인,"179,071",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"68,316","4,407","5,297","3,931","5,645","9,036","5,636","5,216","7,116","5,486","7,597","5,353","3,596","49,179","3,661","4,071","4,087","4,830","5,824","4,883","3,449","4,764","3,521","5,107","2,800","2,182","41,373","2,410","2,552","3,032","2,993","1,636","3,915","2,168","2,609","3,512","7,597","5,353","3,596","20,203","1,780","2,533","1,899","2,261","2,897","2,506","1,288","2,655","2,384",
인천광역시,중구,송월동화마을 트릭아트스토리,유료,측정,합계,"179,071",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"68,316","4,407","5,297","3,931","5,645","9,036","5,636","5,216","7,116","5,486","7,597","5,353","3,596","49,179","3,661","4,071","4,087","4,830","5,824","4,883","3,449","4,764","3,521","5,107","2,800","2,182","41,373","2,410","2,552","3,032","2,993","1,636","3,915","2,168","2,609","3,512","7,597","5,353","3,596","20,203","1,780","2,533","1,899","2,261","2,897","2,506","1,288","2,655","2,384",
인천광역시,중구,실미해수욕장,유료,측정,내국인,"73,861",-,-,-,-,-,-,-,-,-,-,-,-,-,"51,458","1,160","1,483","2,406","4,110","7,451","7,778","6,136","6,728","5,301","5,067","2,585","1,253","22,403","1,360","1,686","2,896","4,043","7,273","5,145",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
인천광역시,중구,실미해수욕장,유료,측정,외국인,78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,-,-,78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
인천광역시,중구,실미해수욕장,유료,측정,합계,"73,939",-,-,-,-,-,-,-,-,-,-,-,-,-,"51,458","1,160","1,483","2,406","4,110","7,451","7,778","6,136","6,728","5,301","5,067","2,585","1,253","22,481","1,360","1,686","2,974","4,043","7,273","5,145",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
인천광역시,중구,씨사이드파크 레일바이크,유료,측정,내국인,"299,361",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"65,619",-,-,-,-,-,-,"7,150","11,040","13,589","24,498","7,065","2,277","120,517","1,332","6,183","6,183","10,501","19,140","14,916","7,050","7,513","16,534","16,868","9,977","4,320","113,225","3,268","6,946","10,775","16,083","20,813","16,427","10,317","13,663","14,933",
인천광역시,중구,씨사이드파크 레일바이크,유료,측정,합계,"299,361",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"65,619",-,-,-,-,-,-,"7,150","11,040","13,589","24,498","7,065","2,277","120,517","1,332","6,183","6,183","10,501","19,140","14,916","7,050","7,513","16,534","16,868","9,977","4,320","113,225","3,268","6,946","10,775","16,083","20,813","16,427","10,317","13,663","14,933",
인천광역시,중구,연안부두 유람선,유료,측정,내국인,"2,286,616",-,-,-,-,-,-,-,-,-,-,-,-,-,"318,662","1,894","2,442","39,758","61,510","41,116","18,835","23,370","47,230","26,190","17,109","20,868","18,340","320,113","2,836","1,872","45,494","61,858","38,126","26,970","26,505","36,596","23,474","23,033","19,823","13,526","205,226","6,982","6,276","30,592","56,655","37,510","14,210","9,954","10,986","7,857","13,438","8,468","2,298","147,362","5,185","5,014","25,346","15,704","3,532","4,758","12,718","18,072","19,258","14,898","14,855","8,022","261,028","3,800","4,938","30,508","42,142","18,829","2,155","30,764","36,752","26,804","29,528","22,710","12,098","351,761","8,490","7,549","35,951","68,387","69,728","42,349","22,648","21,061","19,266","19,142","19,616","17,574","274,405","8,161","9,459","24,954","32,322","37,960","23,805","20,448","21,502","16,790","23,199","30,554","25,251","251,346","6,179","7,716","17,991","27,502","31,450","24,591","19,841","17,024","24,288","27,904","24,102","22,758","156,713","6,138","7,334","10,630","19,368","31,986","24,633","17,170","16,788","22,666",
인천광역시,중구,연안부두 유람선,유료,측정,외국인,"336,338",-,-,-,-,-,-,-,-,-,-,-,-,-,"19,817",69,153,848,"4,123","1,067",120,"6,482","3,327","1,733","1,201",531,163,"15,516",45,78,469,"1,114","1,111",146,"6,004","2,327","1,329","1,618",438,837,"11,489",70,88,398,"1,103",774,131,"2,674","2,480","1,590","1,372",228,581,"1,751",34,44,158,59,23,15,232,316,228,266,126,250,"4,659",34,37,138,222,312,22,835,943,"1,057",391,182,486,"79,324",40,136,672,708,"1,055","12,343","7,555","11,484","14,175","15,884","13,712","1,560","57,378",449,645,"1,229",504,"1,505","2,018","6,339","8,491","8,006","12,383","8,821","6,988","52,975",436,738,"3,048","3,590","5,710","2,542","2,474","3,718","5,058","9,792","10,432","5,437","93,429",576,720,"7,760","10,996","14,914","12,812","15,731","12,968","16,952",
인천광역시,중구,연안부두 유람선,유료,측정,합계,"2,622,954",-,-,-,-,-,-,-,-,-,-,-,-,-,"338,479","1,963","2,595","40,606","65,633","42,183","18,955","29,852","50,557","27,923","18,310","21,399","18,503","335,629","2,881","1,950","45,963","62,972","39,237","27,116","32,509","38,923","24,803","24,651","20,261","14,363","216,715","7,052","6,364","30,990","57,758","38,284","14,341","12,628","13,466","9,447","14,810","8,696","2,879","149,113","5,219","5,058","25,504","15,763","3,555","4,773","12,950","18,388","19,486","15,164","14,981","8,272","265,687","3,834","4,975","30,646","42,364","19,141","2,177","31,599","37,695","27,861","29,919","22,892","12,584","431,085","8,530","7,685","36,623","69,095","70,783","54,692","30,203","32,545","33,441","35,026","33,328","19,134","331,783","8,610","10,104","26,183","32,826","39,465","25,823","26,787","29,993","24,796","35,582","39,375","32,239","304,321","6,615","8,454","21,039","31,092","37,160","27,133","22,315","20,742","29,346","37,696","34,534","28,195","250,142","6,714","8,054","18,390","30,364","46,900","37,445","32,901","29,756","39,618",
