시도,군구,관광지,구분,세부구분,내/외국인,총계(2010.01 ~ 2019.09),2010년,,,,,,,,,,,,,2011년,,,,,,,,,,,,,2012년,,,,,,,,,,,,,2013년,,,,,,,,,,,,,2014년,,,,,,,,,,,,,2015년,,,,,,,,,,,,,2016년,,,,,,,,,,,,,2017년,,,,,,,,,,,,,2018년,,,,,,,,,,,,,2019년,,,,,,,,,,
,,,,,,,인원계,2010년 01월,2010년 02월,2010년 03월,2010년 04월,2010년 05월,2010년 06월,2010년 07월,2010년 08월,2010년 09월,2010년 10월,2010년 11월,2010년 12월,인원계,2011년 01월,2011년 02월,2011년 03월,2011년 04월,2011년 05월,2011년 06월,2011년 07월,2011년 08월,2011년 09월,2011년 10월,2011년 11월,2011년 12월,인원계,2012년 01월,2012년 02월,2012년 03월,2012년 04월,2012년 05월,2012년 06월,2012년 07월,2012년 08월,2012년 09월,2012년 10월,2012년 11월,2012년 12월,인원계,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,인원계,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,인원계,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,인원계,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,인원계,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,인원계,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,인원계,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,
제주특별자치도,제주시,(주)제주미니미니랜드,유료,측정,내국인,"754,101","289,965","13,403","11,644","15,656","31,802","34,219","23,180","24,571","30,882","46,183","27,405","17,932","13,088","256,889","8,260","12,754","16,896","26,477","36,890","24,578","20,160","30,325","26,028","23,109","19,162","12,250","207,247","12,478","11,927","13,241","20,730","30,657","17,978","16,757","19,788","15,979","19,033","11,876","16,803",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
제주특별자치도,제주시,(주)제주미니미니랜드,유료,측정,외국인,"26,534","6,834",705,612,823,"1,673","1,801","1,220",-,-,-,-,-,-,"9,430",255,394,522,818,"1,140",760,932,937,804,"1,216","1,008",644,"10,270",656,628,700,"1,091","1,503",946,881,"1,041",840,"1,001",625,358,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
제주특별자치도,제주시,(주)제주미니미니랜드,유료,측정,합계,"780,635","296,799","14,108","12,256","16,479","33,475","36,020","24,400","24,571","30,882","46,183","27,405","17,932","13,088","266,319","8,515","13,148","17,418","27,295","38,030","25,338","21,092","31,262","26,832","24,325","20,170","12,894","217,517","13,134","12,555","13,941","21,821","32,160","18,924","17,638","20,829","16,819","20,034","12,501","17,161",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
제주특별자치도,제주시,도립미술관,유료,측정,내국인,"616,311",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"87,322","6,515","4,767","5,584","6,458","5,960","6,902","9,906","9,611","6,186","10,464","8,074","6,895","142,200","9,522","6,170","5,078","7,170","11,560","6,334","12,370","10,666","18,844","25,989","20,756","7,741","109,270","8,052","6,950","5,179","7,312","10,838","7,106","11,044","10,962","9,690","11,248","11,751","9,138","91,256","6,920","5,643","4,964","8,495","11,173","7,107","8,208","8,108","8,929","9,878","6,980","4,851","125,093","6,454","4,629","4,142","5,776","7,958","4,337","14,121","18,900","12,697","7,469","13,265","25,345","61,170","6,034","12,310","10,432","4,180","12,042","16,172",-,-,-,
제주특별자치도,제주시,도립미술관,유료,측정,외국인,"10,357",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,940",127,84,63,186,121,96,173,193,366,186,142,203,"2,028",135,120,259,184,270,116,137,157,180,184,150,136,"3,148",122,193,212,202,211,252,326,407,259,408,396,160,"2,143",287,215,159,278,269,249,130,102,173,173,81,27,"1,006",42,54,54,134,75,29,162,198,160,29,31,38,92,6,12,10,6,26,32,-,-,-,
제주특별자치도,제주시,도립미술관,유료,측정,합계,"626,668",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"89,262","6,642","4,851","5,647","6,644","6,081","6,998","10,079","9,804","6,552","10,650","8,216","7,098","144,228","9,657","6,290","5,337","7,354","11,830","6,450","12,507","10,823","19,024","26,173","20,906","7,877","112,418","8,174","7,143","5,391","7,514","11,049","7,358","11,370","11,369","9,949","11,656","12,147","9,298","93,399","7,207","5,858","5,123","8,773","11,442","7,356","8,338","8,210","9,102","10,051","7,061","4,878","126,099","6,496","4,683","4,196","5,910","8,033","4,366","14,283","19,098","12,857","7,498","13,296","25,383","61,262","6,040","12,322","10,442","4,186","12,068","16,204",-,-,-,
제주특별자치도,제주시,만장굴관광지,유료,측정,내국인,"6,249,844","588,855","36,635","25,969","37,302","37,940","51,943","46,364","66,567","111,229","55,885","51,576","35,966","31,479","667,348","39,447","39,258","34,040","49,960","63,130","46,708","71,598","108,308","51,280","60,244","52,918","50,457","644,004","44,499","48,691","41,928","54,617","65,515","57,262","71,353","94,638","43,778","51,317","38,732","31,674","665,682","37,093","33,633","37,209","55,643","59,846","56,012","79,197","116,014","56,094","58,088","39,092","37,761","576,281","46,355","41,517","33,860","46,539","43,790","48,442","60,459","77,413","52,491","53,624","35,997","35,794","690,838","51,849","43,006","36,225","50,608","63,091","47,477","77,626","115,419","60,467","60,133","45,551","39,386","704,648","50,108","49,956","34,592","52,066","57,300","50,111","86,093","122,394","62,659","59,726","40,506","39,137","777,643","52,689","48,975","40,029","66,434","68,843","64,366","103,901","123,177","63,967","67,375","39,275","38,612","678,984","44,972","31,996","44,845","54,775","69,801","57,540","90,691","115,456","53,550","47,490","32,144","35,724","255,561","39,200","38,344","34,989","41,639","53,230","48,159",-,-,-,
제주특별자치도,제주시,만장굴관광지,유료,측정,외국인,"859,793","97,841","3,725","5,522","4,603","7,926","5,909","6,488","12,511","9,044","8,986","11,850","13,511","7,766","118,251","5,716","5,650","6,927","8,203","9,435","7,256","8,735","9,251","12,251","13,160","8,153","23,514","115,632","7,609","7,482","9,415","10,091","12,603","12,616","11,984","9,451","10,008","10,449","7,368","6,556","112,159","6,159","5,848","9,490","11,067","12,514","11,951","9,826","9,815","9,989","12,302","7,574","5,624","98,492","3,725","4,435","7,552","11,885","10,758","10,260","8,067","8,084","9,370","10,455","7,842","6,059","63,740","2,446","3,038","5,103","7,933","8,659","5,253","2,878","3,688","6,620","7,674","6,101","4,347","85,160","1,761","2,773","7,107","8,845","10,495","8,445","8,188","6,939","8,500","9,529","6,617","5,961","55,226","1,433","1,021","3,914","9,080","5,522","5,876","4,496","3,635","5,515","6,761","3,965","4,008","78,488","2,157","2,319","5,469","7,345","8,333","8,721","7,436","7,483","7,606","9,131","7,187","5,301","34,804","1,688","1,951","4,631","8,602","8,398","9,534",-,-,-,
제주특별자치도,제주시,만장굴관광지,유료,측정,합계,"7,109,637","686,696","40,360","31,491","41,905","45,866","57,852","52,852","79,078","120,273","64,871","63,426","49,477","39,245","785,599","45,163","44,908","40,967","58,163","72,565","53,964","80,333","117,559","63,531","73,404","61,071","73,971","759,636","52,108","56,173","51,343","64,708","78,118","69,878","83,337","104,089","53,786","61,766","46,100","38,230","777,841","43,252","39,481","46,699","66,710","72,360","67,963","89,023","125,829","66,083","70,390","46,666","43,385","674,773","50,080","45,952","41,412","58,424","54,548","58,702","68,526","85,497","61,861","64,079","43,839","41,853","754,578","54,295","46,044","41,328","58,541","71,750","52,730","80,504","119,107","67,087","67,807","51,652","43,733","789,808","51,869","52,729","41,699","60,911","67,795","58,556","94,281","129,333","71,159","69,255","47,123","45,098","832,869","54,122","49,996","43,943","75,514","74,365","70,242","108,397","126,812","69,482","74,136","43,240","42,620","757,472","47,129","34,315","50,314","62,120","78,134","66,261","98,127","122,939","61,156","56,621","39,331","41,025","290,365","40,888","40,295","39,620","50,241","61,628","57,693",-,-,-,
제주특별자치도,제주시,민속자연사박물관,유료,측정,내국인,"5,148,721","868,889","41,680","33,119","94,526","143,446","141,817","79,297","44,834","59,543","58,069","72,812","56,273","43,473","942,402","48,319","40,452","101,721","152,939","170,014","76,951","32,448","48,920","54,798","74,447","57,056","84,337","722,635","25,604","32,150","60,934","98,802","81,808","44,174","24,993","62,888","85,121","83,012","68,068","55,081","582,701","39,195","18,750","22,629","80,397","78,766","36,628","19,500","25,782","34,283","79,192","74,211","73,368","422,494","24,548","20,891","43,702","59,881","20,216","17,417","17,959","29,037","28,103","54,010","60,950","45,780","376,382","23,298","20,557","33,556","59,881","20,216","17,417","19,543","30,122","39,009","42,496","34,045","36,242","345,149","25,213","21,375","28,920","49,446","45,789","27,947","18,385","22,449","27,387","41,039","21,614","15,585","316,802","20,702","18,516","29,835","46,980","34,009","24,467","18,287","23,976","26,466","32,661","20,943","19,960","408,872","23,410","17,144","26,543","44,163","39,178","22,866","18,805","27,444","33,398","64,812","36,887","54,222","162,395","15,751","26,404","21,059","30,179","46,997","22,005",-,-,-,
